#element name,      madkeyw, 
INITIAL,                , 
BEGGUNB,            MARK, 
DGBCA,              DRIF, 
SOL1BKB,            SOLE, 
DGBCB,              DRIF, 
CATHODEB,           INST, 
DGUN,               DRIF, 
DG001,              DRIF, 
SOL1B,              SOLE, 
CQ01B,              MULT, 
SQ01B,              MULT, 
SOL1B,              SOLE, 
DG002,              DRIF, 
VV01B,              INST, 
DG003,              DRIF, 
XC01B,              HKIC, 
YC01B,              VKIC, 
DG004,              DRIF, 
BPM1B,              MONI, 
DG005,              DRIF, 
IM01B,              IMON, 
DG006,              DRIF, 
XC02B,              HKIC, 
YC02B,              VKIC, 
DG007,              DRIF, 
BUN1B,              LCAV, 
BUN1B,              LCAV, 
DG008,              DRIF, 
XC03B,              HKIC, 
YC03B,              VKIC, 
DG009,              DRIF, 
AM00B,              MARK, 
DG010,              DRIF, 
XC04B,              HKIC, 
YC04B,              VKIC, 
DG011,              DRIF, 
YAG01B,             PROF, 
YAG01B_COLL,        ECOL, 
YAG01B_FCUP,        INST, 
DG012A,             DRIF, 
CQ02B,              QUAD, 
CQ02B,              QUAD, 
DG012B,             DRIF, 
SOL2B,              SOLE, 
SQ02B,              MULT, 
SOL2B,              SOLE, 
DG013,              DRIF, 
VV02B,              INST, 
DG014,              DRIF, 
BPM2B,              MONI, 
DG015,              DRIF, 
XC05B,              HKIC, 
YC05B,              VKIC, 
DG016A,             DRIF, 
BLFU,               MARK, 
DG016B,             DRIF, 
ENDGUNB,            MARK, 
BEGL0B,             MARK, 
EC1,                MARK, 
DCAP0U,             DRIF, 
CM01BEG,            MARK, 
DCM1,               DRIF, 
DCAVMAP,            DRIF, 
CAVL011,            LCAV, 
DCAVMAP,            DRIF, 
DCM2,               DRIF, 
DCAVMAP,            DRIF, 
CAVL012,            LCAV, 
DCAVMAP,            DRIF, 
DCM2,               DRIF, 
DCAVMAP,            DRIF, 
CAVL013,            LCAV, 
DCAVMAP,            DRIF, 
DCM2,               DRIF, 
DCAVMAP,            DRIF, 
CAVL014,            LCAV, 
DCAVMAP,            DRIF, 
DCM2,               DRIF, 
DCAVMAP,            DRIF, 
CAVL015A,           LCAV, 
CSP01,              INST, 
CAVL015B,           LCAV, 
DCAVMAP,            DRIF, 
DCM2,               DRIF, 
DCAVMAP,            DRIF, 
CAVL016,            LCAV, 
DCAVMAP,            DRIF, 
DCM2,               DRIF, 
DCAVMAP,            DRIF, 
CAVL017,            LCAV, 
DCAVMAP,            DRIF, 
DCM2,               DRIF, 
DCAVMAP,            DRIF, 
CAVL018,            LCAV, 
DCAVMAP,            DRIF, 
DCM3,               DRIF, 
CMB01,              MONI, 
DCM4A,              DRIF, 
BEAM0,              MARK, 
DCM4B,              DRIF, 
QCM01,              QUAD, 
XCM01,              HKIC, 
YCM01,              VKIC, 
QCM01,              QUAD, 
DCM5,               DRIF, 
CM01END,            MARK, 
DCMCM1,             DRIF, 
HOMCM,              MARK, 
DCAP0DA,            DRIF, 
ASTRA,              MARK, 
DCAP0DB,            DRIF, 
FC1,                MARK, 
DMSC0DA,            DRIF, 
BLF1,               MARK, 
DMSC0DB,            DRIF, 
VGL0BD,             MARK, 
DMSC0DC,            DRIF, 
VPL0BD,             MARK, 
DMSC0DD,            DRIF, 
MSC0D,              MARK, 
VVL0BD,             INST, 
ENDL0B,             MARK, 
BEGHTR,             MARK, 
D0H00A,             DRIF, 
RFB0H00,            MONI, 
D0H00B,             DRIF, 
PC0H00,             ECOL, 
D0H00C,             DRIF, 
Q0H01,              QUAD, 
BPM0H01,            MONI, 
Q0H01,              QUAD, 
D0H01A,             DRIF, 
YC0H01,             VKIC, 
D0H01B,             DRIF, 
Q0H02,              QUAD, 
Q0H02,              QUAD, 
D0H02A,             DRIF, 
XC0H01,             HKIC, 
D0H02B,             DRIF, 
DP0H01,             MARK, 
D0H02C,             DRIF, 
DP0H02,             MARK, 
D0H02D,             DRIF, 
DP0H03,             MARK, 
D0H02E,             DRIF, 
XC0H03,             HKIC, 
D0H02F,             DRIF, 
Q0H03,              QUAD, 
Q0H03,              QUAD, 
D0H03A,             DRIF, 
YC0H03,             VKIC, 
D0H03B,             DRIF, 
Q0H04,              QUAD, 
BPM0H04,            MONI, 
Q0H04,              QUAD, 
D0H04A,             DRIF, 
RFB0H04,            MONI, 
D0H04B,             DRIF, 
OTR0H04,            PROF, 
OTR0H04_YAG,        PROF, 
D0H04C,             DRIF, 
WS0H04,             WIRE, 
D0H04D,             DRIF, 
BZ0H04,             BLMO, 
D0H04E,             DRIF, 
Q0H05,              QUAD, 
BPM0H05,            MONI, 
Q0H05,              QUAD, 
D0H05A,             DRIF, 
YC0H05,             VKIC, 
D0H05B,             DRIF, 
Q0H06,              QUAD, 
Q0H06,              QUAD, 
D0H06A,             DRIF, 
XC0H05,             HKIC, 
D0H06B,             DRIF, 
XC0H07,             HKIC, 
D0H06C,             DRIF, 
Q0H07,              QUAD, 
Q0H07,              QUAD, 
