# Values shown are for the Exit End of each Element:
# Index  name      key                      s       l           b          b1        beta       alpha        beta       alpha
#                                                             max    gradient           a           a           b           b
     50  DUHWALL2  Drift               29.373   0.251         ---         ---  1.3971E+01 -5.5529E-01  3.3637E+01  1.5080E+00
     51  DW2TDUND  Drift               29.575   0.202         ---         ---  1.4198E+01 -5.7416E-01  3.3033E+01  1.4884E+00
     52  DTDUND1   Drift               30.430   0.856         ---         ---  1.5250E+01 -6.5431E-01  3.0556E+01  1.4051E+00
     53  TDUND     Instrument          30.430   0.000         ---         ---  1.5250E+01 -6.5431E-01  3.0556E+01  1.4051E+00
     54  DTDUND2   Drift               30.778   0.348         ---         ---  1.5716E+01 -6.8689E-01  2.9591E+01  1.3712E+00
     55  DPCMUON   Drift               30.810   0.031         ---         ---  1.5760E+01 -6.8984E-01  2.9504E+01  1.3682E+00
     56  PCMUON    Ecollimator         31.978   1.168         ---         ---  1.7499E+01 -7.9926E-01  2.6440E+01  1.2545E+00
     57  DMUON1    Drift               32.183   0.205         ---         ---  1.7831E+01 -8.1844E-01  2.5930E+01  1.2345E+00
     58  VV999     Marker              32.183   0.000         ---         ---  1.7831E+01 -8.1844E-01  2.5930E+01  1.2345E+00
     59  DMUON3    Drift               32.334   0.151         ---         ---  1.8080E+01 -8.3258E-01  2.5560E+01  1.2198E+00
     60  RFBHX12   Instrument          32.384   0.050         ---         ---  1.8164E+01 -8.3727E-01  2.5438E+01  1.2149E+00
     61  DMUON4    Drift               32.444   0.060         ---         ---  1.8264E+01 -8.4285E-01  2.5293E+01  1.2091E+00
     62  MM3       Marker              32.444   0.000         ---         ---  1.8264E+01 -8.4285E-01  2.5293E+01  1.2091E+00
     63  PFILT1    Marker              32.444   0.000         ---         ---  1.8264E+01 -8.4285E-01  2.5293E+01  1.2091E+00
     64  DBMARK37  Marker              32.444   0.000         ---         ---  1.8264E+01 -8.4285E-01  2.5293E+01  1.2091E+00
     65  RWWAKE5H  Marker              32.444   0.000         ---         ---  1.8264E+01 -8.4285E-01  2.5293E+01  1.2091E+00
     66  ENDLTUH   Marker              32.444   0.000         ---         ---  1.8264E+01 -8.4285E-01  2.5293E+01  1.2091E+00
     67  BEGUNDH   Marker              32.444   0.000         ---         ---  1.8264E+01 -8.4285E-01  2.5293E+01  1.2091E+00
     68  DU0H      Drift               32.513   0.069         ---         ---  1.8381E+01 -8.4935E-01  2.5126E+01  1.2024E+00
     69  DU8H      Drift               32.538   0.025         ---         ---  1.8424E+01 -8.5169E-01  2.5066E+01  1.2000E+00
     70  HXRSTART  Marker              32.538   0.000         ---         ---  1.8424E+01 -8.5169E-01  2.5066E+01  1.2000E+00
     71  DU1H      Drift               32.579   0.041         ---         ---  1.8494E+01 -8.5553E-01  2.4968E+01  1.1960E+00
     72  DU2H      Drift               32.579   0.000         ---         ---  1.8494E+01 -8.5553E-01  2.4968E+01  1.1960E+00
     73  DTHXU     Drift               32.588   0.009         ---         ---  1.8509E+01 -8.5637E-01  2.4946E+01  1.1951E+00
     74  UMAHX13   Wiggler             35.942   3.354  8.2383E-01         ---  2.5221E+01 -1.1422E+00  1.8025E+01  8.6862E-01
     75  DTHXU     Drift               35.951   0.009         ---         ---  2.5242E+01 -1.1431E+00  1.8009E+01  8.6774E-01
     76  DU3H      Drift               36.002   0.051         ---         ---  2.5358E+01 -1.1477E+00  1.7921E+01  8.6277E-01
     77  BLMH13    Instrument          36.002   0.000         ---         ---  2.5358E+01 -1.1477E+00  1.7921E+01  8.6277E-01
     78  DU3H      Drift               36.053   0.051         ---         ---  2.5476E+01 -1.1524E+00  1.7833E+01  8.5781E-01
     79  QHX13#1   Quadrupole          36.095   0.042         --- -3.5714E+01  2.5522E+01  5.2662E-02  1.7796E+01  1.1879E-02
     80  MAR.MATCH Marker              36.095   0.000         ---         ---  2.5522E+01  5.2662E-02  1.7796E+01  1.1879E-02
     81  QHX13#2   Quadrupole          36.137   0.042         --- -3.5714E+01  2.5467E+01  1.2573E+00  1.7831E+01 -8.3396E-01
     82  DU4H      Drift               36.200   0.063         ---         ---  2.5309E+01  1.2509E+00  1.7936E+01 -8.3995E-01
     83  RFBHX13   Instrument          36.250   0.050         ---         ---  2.5184E+01  1.2458E+00  1.8021E+01 -8.4470E-01
     84  DU5H      Drift               36.328   0.078         ---         ---  2.4991E+01  1.2380E+00  1.8153E+01 -8.5210E-01
     85  PSHXH     Taylor              36.353   0.025         ---         ---  2.4930E+01  1.2355E+00  1.8195E+01 -8.5440E-01
     86  MPHH      Marker              36.353   0.000         ---         ---  2.4930E+01  1.2355E+00  1.8195E+01 -8.5440E-01
     87  PSHXH     Taylor              36.377   0.025         ---         ---  2.4869E+01  1.2330E+00  1.8237E+01 -8.5671E-01
     88  DU6H      Drift               36.462   0.084         ---         ---  2.4661E+01  1.2244E+00  1.8383E+01 -8.6474E-01
     89  VVHXU13   Marker              36.462   0.000         ---         ---  2.4661E+01  1.2244E+00  1.8383E+01 -8.6474E-01
     90  DU7H      Drift               36.551   0.089         ---         ---  2.4444E+01  1.2154E+00  1.8537E+01 -8.7320E-01
     91  DU1H      Drift               36.592   0.041         ---         ---  2.4344E+01  1.2112E+00  1.8609E+01 -8.7709E-01
