description,mad_name,z_start(m),length(in),beamline,shape,round_diameter(in),elliptical_diameter_x(in),elliptical_diameter_y(in)
Bellows,,3516.847,6,LTUH,round,1.500,,
Drift Tube(2 in a row),,3516.999,120.0,LTUH,round,1.370,,
4 Way Cross,,3520.047,4.92,LTUH,round,1.370,,
Bellows,,3520.172,6,LTUH,round,1.500,,
Drift Tube,YCE36*,3520.324,48,LTUH,round,1.370,,
Magnet Quad with BPM ASSY,"QE36*,BPME36*",3521.543,10.0,LTUH,round,0.870,,
Drift Tube,,3521.797,18.5,LTUH,round,1.370,,
Drift Tube,,3522.267,36.0,LTUH,round,1.370,,
Bellows,,3523.181,6,LTUH,round,1.500,,
Drift Tube(3 in a row),,3523.333,180.0,LTUH,round,1.370,,
Drift Tube,,3527.905,48,LTUH,round,1.370,,
Drift Tube,,3529.124,6.5,LTUH,round,1.370,,
Actuator,,3529.194,2.75,LTUH,round,1.500,,
Flex Coupling,,3529.264,3.34,LTUH,round,1.370,,
Drift Tube,,3529.349,12.00,LTUH,round,1.370,,
Drift Tube,,3529.654,23.0,LTUH,round,1.370,,
Fast Wire Scanner Assy,,3530.238,8.78,LTUH,round,1.3748,,
Drift Tube,,3530.461,11.78,LTUH,round,1.370,,
Conical Reducer,,3530.760,2.375,LTUH,round,0.750,,
6 Way Cube,,3530.820,3.38,LTUH,round,2.000,,
Conical Reducer,,3530.906,2.375,LTUH,round,0.750,,
Bellows,,3530.966,5.20,LTUH,round,1.500,,
Drift Tube,,3531.128,39.5,LTUH,round,1.370,,
Drift Tube(2 in a row),,3532.131,120,LTUH,round,1.370,,
Drift Tube,,3535.179,36.0,LTUH,round,1.370,,
Magnet/BPM Assy,,3536.093,21.0,LTUH,round,0.874,,
Drift Tube,,3536.626,48,LTUH,round,1.370,,
4 Way Cross,,3537.845,4.92,LTUH,round,1.370,,
Bellows,,3537.970,6,LTUH,round,1.500,,
Drift Tube,,3538.122,23.0,LTUH,round,1.370,,
Drift Tube,,3538.706,60,LTUH,round,1.370,,
Drift Tube,,3540.230,48,LTUH,round,1.370,,
4 Way Cross,,3541.449,4.92,LTUH,round,1.370,,
Drift Tube,,3541.574,48,LTUH,round,1.370,,
Magnet/BPM Assy,,3542.793,21.0,LTUH,round,0.874,,
Drift Tube,,3543.326,4.5, LTUH,round,1.370,,
Drift Tube,,3543.440,45,LTUH,round,1.370,,
Bellows,,3544.583,5.20,LTUH,round,1.500,,
Profile Monitor,,3544.715,8.185,LTUH,round,2.370,,
Flex Coupling,,3544.923,3.34,LTUH,round,1.370,,
Drift Tube(2 in a row),,3545.008,120,LTUH,round,1.370,,
Drift Tube,,3548.056,10.0,LTUH,round,1.370,,
Drift Tube,,3548.310,6.25,LTUH,round,1.370,,
Profile Monitor,,3548.469,8.185,LTUH,round,2.370,,
Bellows,,3548.677,5.20,LTUH,round,1.500,,
Drift Tube,,3548.809,28.0,LTUH,round,1.370,,
4 Way Cross,,3549.520,4.92,LTUH,round,1.370,,
Drift Tube,,3549.645,60,LTUH,round,1.370,,
Magnet/BPM Assy,,3551.169,21.0,LTUH,round,0.874,,
Drift Tube(2 in a row),,3551.702,120,LTUH,round,1.370,,
Bellows,,3554.750,5.20,LTUH,round,1.500,,
Drift Tube,,3554.882,30,LTUH,round,1.370,,
Magnet/BPM Assy,,3555.644,21.0,LTUH,round,0.874,,
Drift Tube,,3556.197,11.25,LTUH,round,1.370,,
Transition Bellows,,3556.483,5.512,LTUH,round,0.394,,
RFBPM Reciever,,3556.623,3.662,LTUH,round,0.394,,
Transition Bellows,,3556.716,5.512,LTUH,round,0.394,,
Drift Tube,,3556.856,11.88,LTUH,round,1.370,,
Toroid,,3557.158,1.80,LTUH,round,0.875,,
Flex Coupling,,3557.204,4.00,LTUH,round,1.370,,
Drift Tube,,3557.306,48,LTUH,round,1.370,,
Drift Tube,,3558.525,28.0,LTUH,round,1.370,,
Transition Bellows,,3559.236,5.512,LTUH,round,0.394,,
RFBPM Reciever,,3559.376,3.662,LTUH,round,0.394,,
RFBPM Reciever,,3559.469,3.662,LTUH,round,0.394,,
Transition Bellows,,3559.562,5.512,LTUH,round,0.394,,
