description,mad_name,z_start(m),length(in),beamline,shape,round_diameter(in),elliptical_diameter_x(in),elliptical_diameter_y(in)
Fast Wire Scanner Assy,WSDL31*,3270.161,8.78,LTUH,round,1.3748,,
Drift Tube,XCDL1*,3270.384,20.38,LTUH ,round,1.370,,
Bellows,,3270.902,5.20,LTUH,round,1.500,,
Magnet/BPM Assy,QDL31*/BPMDL1*,3271.034,21.0,LTUH,round,0.874,,
Bellows,,3271.567,5.20,LTUH,round,1.500,,
Drift Tube,YCDL1*,3271.699,36.0,LTUH,round,1.370,,
Reducing Flange,,3272.613,0.78,LTUH,round,1.370,,
Collimator,CEDL1*,3272.633,8.6,LTUH,round,3.834,,
Drift Tube,,3272.851,21.38,LTUH,round,1.370,,
Bellows,,3273.394,5.20,LTUH,round,1.500,,
4 Way Cross,,3273.526,4.92,LTUH,round,1.370,,
Bellows,,3273.651,5.20,LTUH,round,1.500,,
Drift Tube,,3273.783,48,LTUH,round,1.370,,
Drift Tube(2 in a row),,3275.002,120.0,LTUH,round,1.370,,
Drift Tube,BTM22*,3278.050,60.0,LTUH,round,1.370,,
Pneumatic Valve,,3279.574,2.83,LTUH,round,1.570,,
Flex Coupling,,3279.646,4.00,LTUH,round,1.370,,
Drift Tube(2 in a row),,3279.748,120.0,LTUH,round,1.370,,
4 Way Cross,,3282.796,4.92,LTUH,round,1.370,,
Bellows,,3282.921,5.2,LTUH,round,1.500,,
Drift Tube,,3283.053,15.6,LTUH,round,1.370,,
Vert. Collimator,CYBX32,3283.449,8.6,LTUH,round,3.834,,
Drift Tube,,3283.667,18,LTUH,round,1.370,,
Bellows,,3284.124,5.2,LTUH,round,1.500,,
Vacuum Chamber ,,3284.256,113,LTUH,rectangular,,1.402,0.468
Reducing Flange,,3287.126,0.68,LTUH,round,1.500,,
Drift Tube,,3287.143,6.5,LTUH,round,1.370,,
Flex Coupling,,3287.308,4,LTUH,round,1.370,,
Magnet Chamber,,3287.410,22.94,LTUH,round,0.745,,
Bellows,,3287.993,6,LTUH,round,1.500,,
Drift Tube,,3288.145,24,LTUH,round,1.370,,
Bellows,,3288.755,5.2,LTUH,round,1.500,,
BPM Vac System,,3288.887,22.943,LTUH,round,0.781,,
Bellows,,3289.470,6,LTUH,round,1.500,,
Drift Tube,,3289.622,24,LTUH,round,1.370,,
Bellows,,3290.232,5.2,LTUH,round,1.500,,
Magnet Chamber,,3290.364,22.94,LTUH,round,0.745,,
Drift Tube,,3290.947,45,LTUH,round,1.370,,
Drift Tube,,3292.090,20,LTUH,round,1.370,,
Flex Coupling,,3292.598,4,LTUH,round,1.370,,
*R56 Chicane Asmby,"BCX321*,BCX322*,BCX323*,BCX324*,",3292.700,87.54,LTUH,rectangular,,0.553,2.756
Flex Coupling,,3294.924,4,LTUH,round,1.370,,
Drift Tube,,3295.026,30,LTUH,round,1.370,,
4 Way Cross,,3295.788,4.92,LTUH,round,1.370,,
Bellows,,3295.913,6,LTUH,round,1.500,,
Drift Tube,,3296.065,60,LTUH,round,1.370,,
4 Way Cross,,3297.589,4.92,LTUH,round,1.370,,
Drift Tube,,3297.714,48,LTUH,round,1.370,,
Bellows,,3298.933,6,LTUH,round,1.500,,
BYKIKMAG Drift Tube,,3299.085,94,LTUH,round,1.180,,
Bellows,,3301.473,6,LTUH,round,1.500,,
Drift Tube(3 in a row),,3301.625,180.0,LTUH,round,1.370,,
Drift Tube,,3306.197,19.5,LTUH,round,1.370,,
BPM Drift Tube,,3306.692,21.0,LTUH,round,0.874,,
Drift Tube,,3307.225,23.0,LTUH,round,1.370,,
Flex Coupling,,3307.809,4,LTUH,round,1.370,,
Spoiler Foil,,3307.911,0.039,LTUH,round,0.315,,
Spoiler Body,,3307.912,2.0,LTUH,round,1.000,,
Spoiler Tube,,3307.963,6.0,LTUH,round,1.000,,
Bellows,,3308.115,6,LTUH,round,1.500,,
Drift Tube,,3308.267,12,LTUH,round,1.370,,
Actuator,,3308.572,2.75,LTUH,round,1.500,,
