# Values shown are for the Exit End of each Element:
# Index  name    key                      s       l         s               L        gradient         voltage            phi0              rf
#                                                                                                                                   frequency
    381  K21_6A2 Lcavity             79.759   0.389 79.759174  3.88500000E-01  1.69013655E+07  6.56618048E+06 -9.30555556E-02  2.85600000E+09
    383  K21_6A3 Lcavity             82.087   2.328 82.086774  2.32760000E+00  1.69013655E+07  3.93396182E+07 -9.30555556E-02  2.85600000E+09
    384  K21_6B  Lcavity             85.131   3.044 85.130874  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    385  K21_6C  Lcavity             88.175   3.044 88.174974  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    386  K21_6D  Lcavity             91.219   3.044 91.219074  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    392  K21_7A1 Lcavity             91.721   0.334 91.720674  3.33600000E-01  1.69013655E+07  5.63829552E+06 -9.30555556E-02  2.85600000E+09
    394  K21_7A2 Lcavity             91.971   0.250 91.970674  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    396  K21_7A3 Lcavity             94.431   2.461 94.431174  2.46050000E+00  1.69013655E+07  4.15858097E+07 -9.30555556E-02  2.85600000E+09
    397  K21_7B  Lcavity             97.475   3.044 97.475274  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    398  K21_7C  Lcavity            100.519   3.044 100.51937  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    399  K21_7D  Lcavity            103.563   3.044 103.56347  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    405  K21_8A1 Lcavity            104.061   0.329 104.06067  3.29200000E-01  1.69013655E+07  5.56392951E+06 -9.30555556E-02  2.85600000E+09
    407  K21_8A2 Lcavity            104.311   0.250 104.31067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    409  K21_8A3 Lcavity            106.776   2.465 106.77557  2.46490000E+00  1.69013655E+07  4.16601757E+07 -9.30555556E-02  2.85600000E+09
    410  K21_8B  Lcavity            109.820   3.044 109.81967  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    411  K21_8C  Lcavity            112.864   3.044 112.86377  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    412  K21_8D1 Lcavity            115.251   2.387 115.25067  2.38690000E+00  1.69013655E+07  4.03418692E+07 -9.30555556E-02  2.85600000E+09
    414  K21_8D2 Lcavity            115.501   0.250 115.50067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    416  K21_8D3 Lcavity            115.908   0.407 115.90787  4.07200000E-01  1.69013655E+07  6.88223601E+06 -9.30555556E-02  2.85600000E+09
    425  K22_1A  Lcavity            121.965   3.044 121.96477  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    426  K22_1B  Lcavity            125.009   3.044 125.00887  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    427  K22_1C  Lcavity            128.053   3.044 128.05297  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    428  K22_1D  Lcavity            131.097   3.044 131.09707  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    434  K22_2A1 Lcavity            131.591   0.326 131.59067  3.25600000E-01  1.69013655E+07  5.50308459E+06 -9.30555556E-02  2.85600000E+09
    436  K22_2A2 Lcavity            131.969   0.378 131.96887  3.78200000E-01  1.69013655E+07  6.39209642E+06 -9.30555556E-02  2.85600000E+09
    438  K22_2A3 Lcavity            134.309   2.340 134.30917  2.34030000E+00  1.69013655E+07  3.95542656E+07 -9.30555556E-02  2.85600000E+09
    439  K22_2B  Lcavity            137.353   3.044 137.35327  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    440  K22_2C  Lcavity            140.397   3.044 140.39737  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    441  K22_2D  Lcavity            143.441   3.044 143.44147  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    447  K22_3A1 Lcavity            143.941   0.331 143.94067  3.31200000E-01  1.69013655E+07  5.59773224E+06 -9.30555556E-02  2.85600000E+09
    449  K22_3A2 Lcavity            144.191   0.250 144.19067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    451  K22_3A3 Lcavity            146.654   2.463 146.65357  2.46290000E+00  1.69013655E+07  4.16263730E+07 -9.30555556E-02  2.85600000E+09
    452  K22_3B  Lcavity            149.698   3.044 149.69767  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    453  K22_3C  Lcavity            152.742   3.044 152.74177  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    454  K22_3D  Lcavity            155.786   3.044 155.78587  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    460  K22_4A1 Lcavity            156.281   0.327 156.28067  3.26800000E-01  1.69013655E+07  5.52336623E+06 -9.30555556E-02  2.85600000E+09
    462  K22_4A2 Lcavity            156.531   0.250 156.53067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    464  K22_4A3 Lcavity            158.998   2.467 158.99797  2.46730000E+00  1.69013655E+07  4.17007390E+07 -9.30555556E-02  2.85600000E+09
    465  K22_4B  Lcavity            162.042   3.044 162.04207  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    466  K22_4C  Lcavity            165.086   3.044 165.08617  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    467  K22_4D  Lcavity            168.130   3.044 168.13027  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    473  K22_5A1 Lcavity            168.631   0.332 168.63067  3.32400000E-01  1.69013655E+07  5.61801388E+06 -9.30555556E-02  2.85600000E+09
    475  K22_5A2 Lcavity            168.881   0.250 168.88067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    477  K22_5A3 Lcavity            171.342   2.462 171.34237  2.46170000E+00  1.69013655E+07  4.16060913E+07 -9.30555556E-02  2.85600000E+09
    478  K22_5B  Lcavity            174.386   3.044 174.38647  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    479  K22_5C  Lcavity            177.431   3.044 177.43057  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    480  K22_5D  Lcavity            180.475   3.044 180.47467  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    486  K22_6A1 Lcavity            180.971   0.328 180.97067  3.28000000E-01  1.69013655E+07  5.54364787E+06 -9.30555556E-02  2.85600000E+09
    488  K22_6A2 Lcavity            181.350   0.379 181.34967  3.79000000E-01  1.69013655E+07  6.40561751E+06 -9.30555556E-02  2.85600000E+09
    490  K22_6A3 Lcavity            183.687   2.337 183.68677  2.33710000E+00  1.69013655E+07  3.95001812E+07 -9.30555556E-02  2.85600000E+09
    491  K22_6B  Lcavity            186.731   3.044 186.73087  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    492  K22_6C  Lcavity            189.775   3.044 189.77497  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    493  K22_6D  Lcavity            192.819   3.044 192.81907  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    499  K22_7A1 Lcavity            193.321   0.334 193.32067  3.33600000E-01  1.69013655E+07  5.63829552E+06 -9.30555556E-02  2.85600000E+09
    501  K22_7A2 Lcavity            193.704   0.383 193.70357  3.82900000E-01  1.69013655E+07  6.47153283E+06 -9.30555556E-02  2.85600000E+09
    503  K22_7A3 Lcavity            196.031   2.328 196.03117  2.32760000E+00  1.69013655E+07  3.93396182E+07 -9.30555556E-02  2.85600000E+09
    504  K22_7B  Lcavity            199.075   3.044 199.07527  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    505  K22_7C  Lcavity            202.119   3.044 202.11937  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    506  K22_7D  Lcavity            205.163   3.044 205.16347  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    512  K22_8A1 Lcavity            205.661   0.329 205.66067  3.29200000E-01  1.69013655E+07  5.56392951E+06 -9.30555556E-02  2.85600000E+09
    514  K22_8A2 Lcavity            206.058   0.397 206.05757  3.96900000E-01  1.69013655E+07  6.70815195E+06 -9.30555556E-02  2.85600000E+09
    516  K22_8A3 Lcavity            208.376   2.318 208.37557  2.31800000E+00  1.69013655E+07  3.91773651E+07 -9.30555556E-02  2.85600000E+09
    517  K22_8B  Lcavity            211.420   3.044 211.41967  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    518  K22_8C  Lcavity            214.464   3.044 214.46377  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    519  K22_8D1 Lcavity            216.851   2.387 216.85067  2.38690000E+00  1.69013655E+07  4.03418692E+07 -9.30555556E-02  2.85600000E+09
    521  K22_8D2 Lcavity            217.101   0.250 217.10067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    523  K22_8D3 Lcavity            217.508   0.407 217.50787  4.07200000E-01  1.69013655E+07  6.88223601E+06 -9.30555556E-02  2.85600000E+09
    532  K23_1A  Lcavity            223.565   3.044 223.56477  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    533  K23_1B  Lcavity            226.609   3.044 226.60887  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    534  K23_1C  Lcavity            229.653   3.044 229.65297  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    535  K23_1D  Lcavity            232.697   3.044 232.69707  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    541  K23_2A1 Lcavity            233.191   0.326 233.19067  3.25600000E-01  1.69013655E+07  5.50308459E+06 -9.30555556E-02  2.85600000E+09
    543  K23_2A2 Lcavity            233.441   0.250 233.44067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    545  K23_2A3 Lcavity            235.909   2.469 235.90917  2.46850000E+00  1.69013655E+07  4.17210206E+07 -9.30555556E-02  2.85600000E+09
    546  K23_2B  Lcavity            238.953   3.044 238.95327  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    547  K23_2C  Lcavity            241.997   3.044 241.99737  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    548  K23_2D  Lcavity            245.041   3.044 245.04147  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    554  K23_3A1 Lcavity            245.541   0.331 245.54067  3.31200000E-01  1.69013655E+07  5.59773224E+06 -9.30555556E-02  2.85600000E+09
    556  K23_3A2 Lcavity            245.913   0.373 245.91327  3.72600000E-01  1.69013655E+07  6.29744877E+06 -9.30555556E-02  2.85600000E+09
    558  K23_3A3 Lcavity            248.254   2.340 248.25357  2.34030000E+00  1.69013655E+07  3.95542656E+07 -9.30555556E-02  2.85600000E+09
    559  K23_3B  Lcavity            251.298   3.044 251.29767  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    560  K23_3C  Lcavity            254.342   3.044 254.34177  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    561  K23_3D  Lcavity            257.386   3.044 257.38587  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    567  K23_4A1 Lcavity            257.881   0.327 257.88067  3.26800000E-01  1.69013655E+07  5.52336623E+06 -9.30555556E-02  2.85600000E+09
    569  K23_4A2 Lcavity            258.258   0.377 258.25767  3.77000000E-01  1.69013655E+07  6.37181478E+06 -9.30555556E-02  2.85600000E+09
    571  K23_4A3 Lcavity            260.598   2.340 260.59797  2.34030000E+00  1.69013655E+07  3.95542656E+07 -9.30555556E-02  2.85600000E+09
    572  K23_4B  Lcavity            263.642   3.044 263.64207  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    573  K23_4C  Lcavity            266.686   3.044 266.68617  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    574  K23_4D  Lcavity            269.730   3.044 269.73027  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    580  K23_5A1 Lcavity            270.231   0.332 270.23067  3.32400000E-01  1.69013655E+07  5.61801388E+06 -9.30555556E-02  2.85600000E+09
