Solid Edge,AREA,KeyW,ELEMENT,Eng_Name,L_EFF,APER,ANGLE,K1,K2,TILT,E1,E2,H1,H2,ENERGY,SUML,X Coor,Y Coor,Z Coor,X Angle,Y Angle,Z Angle,RF_Frequency,RF_Amplitude,RF_Phase,RF_Gradient,RF_Power_Fraction,Z_Length,Fringe_Field_Integral,Integrated_Field_BL,Field_B,Integrated_Field_Gradient_GL,Field_Gradient_G,XAL_Scale_Name,XAL_Scale_Value,XAL_Polarity,Magnet_X_Coor,Magnet_Y_Coor,Magnet_Z_Coor,Magnet_X_Angle,Magnet_Y_Angle,Magnet_Z_Angle,Solenoid_Strength_KS,Undulator_Period_Length,Undulator_Strength_K,X_Size,Y_Size,Section,Distance_From_Section_Start,XAL_Keyword,S_Display
,,,,,m,m,deg,1/m^2,1/m^3,deg,deg,deg,1/m,1/m,GeV,m,m,m,m,rad,rad,rad,MHz,MeV,deg,MeV/m,1,m,1,kG-m,T,kG,T/m,,,,m,m,m,rad,rad,rad,1/m,m,1,m,m,,m,,m
4131,UNDS,EFC,XCSU42,type-V,0.0,,,,,,,,,,4.0,3.689958461E3,3.679813786E3,1.25,2.054339,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.679813786E3
4132,UNDS,EFC,YCSU42,type-V,0.0,,,,,,,,,,4.0,3.689958461E3,3.679813786E3,1.25,2.054339,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.679813786E3
4136,UNDS,USEG,PSSXH42,PS75,0.0825,,,,,,,,,,4.0,3.691863461E3,3.681718765E3,1.25,2.063233,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,0.075,4.064631891745,,,,,,3.681718765E3
4137,UNDS,MARK,MPHS42,,,,,,,,,,,,4.0,3.691863461E3,3.681718765E3,1.25,2.063233,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.681718765E3
4141,UNDS,QUAD,QSXH42,0.433Q3.1,0.084,0.011,,2.676718375,,0.0,,,,,4.0,3.692158461E3,3.682013762E3,1.25,2.06461,0.0,-0.4669E-2,0.0,,,,,,,,,,29.9999997552,-35.714285422857,,,,,,,,,,,,,,,,,,3.682013762E3
4142,UNDS,XCOR,XCSX42,type-U,0.0,,,,,,,,,,4.0,3.692158461E3,3.682013762E3,1.25,2.06461,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.682013762E3
4143,UNDS,MARK,MUQS42,,,,,,,,,,,,4.0,3.692158461E3,3.682013762E3,1.25,2.06461,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.682013762E3
4144,UNDS,YCOR,YCSX42,type-U,0.0,,,,,,,,,,4.0,3.692158461E3,3.682013762E3,1.25,2.06461,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.682013762E3
4147,UNDS,BPM,RFBSX42,CavityX-1,0.05,,,,,,,,,,4.0,3.692288461E3,3.682143761E3,1.25,2.065217,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.682143761E3
4149,UNDS,MARK,SXR42END,,,,,,,,,,,,4.0,3.692528461E3,3.682383758E3,1.25,2.066337,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.682383758E3
