Solid Edge,AREA,KeyW,ELEMENT,Eng_Name,L_EFF,APER,ANGLE,K1,K2,TILT,E1,E2,H1,H2,ENERGY,SUML,X Coor,Y Coor,Z Coor,X Angle,Y Angle,Z Angle,RF_Frequency,RF_Amplitude,RF_Phase,RF_Gradient,RF_Power_Fraction,Z_Length,Fringe_Field_Integral,Integrated_Field_BL,Field_B,Integrated_Field_Gradient_GL,Field_Gradient_G,XAL_Scale_Name,XAL_Scale_Value,XAL_Polarity,Magnet_X_Coor,Magnet_Y_Coor,Magnet_Z_Coor,Magnet_X_Angle,Magnet_Y_Angle,Magnet_Z_Angle,Solenoid_Strength_KS,Undulator_Period_Length,Undulator_Strength_K,X_Size,Y_Size,Section,Distance_From_Section_Start,XAL_Keyword,S_Display
,,,,,m,m,deg,1/m^2,1/m^3,deg,deg,deg,1/m,1/m,GeV,m,m,m,m,rad,rad,rad,MHz,MeV,deg,MeV/m,1,m,1,kG-m,T,kG,T/m,,,,m,m,m,rad,rad,rad,1/m,m,1,m,m,,m,,m
2,GUNB,INST,BEGGUNB,,,,,,,,,,,,0.126099906E-2,0.0,-10.044667,0.28,-0.99,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,CATHODE TO DIAG0,0.0,MARK,-10.044667
4,GUNB,SOLE,SOL1BKB,Bucking Coil,0.0,0.0,,,,,,,,,0.126099906E-2,-0.071705,-10.116372,0.28,-0.99,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,kG2T,0.1,-1.0,,,,,,,0.0,,,,,CATHODE TO DIAG0,-0.071705,SOLE,-10.116372
6,GUNB,INST,CATHODEB,,0.0,,,,,,,,,,0.126099906E-2,0.0,-10.044667,0.28,-0.99,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,CATHODE TO DIAG0,0.0,INST,-10.044667
9,GUNB,SOLE,SOL1B,LBNL,0.0861,0.0475,,,,,,,,,0.126099906E-2,0.24653,-9.798137,0.28,-0.99,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,kG2T_Bdl2B,1.16144018583,-1.0,,,,,,,0.0,,,,,CATHODE TO DIAG0,0.24653,SOLE,-9.798137
10,GUNB,QUAD,CQ01B,solenoid trim,0.0,0.0475,,0.0,,0.0,,,,,0.126099906E-2,0.24653,-9.798137,0.28,-0.99,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,kG2T,0.1,-1.0,,,,,,,,,,,,CATHODE TO DIAG0,0.24653,QUAD,-9.798137
11,GUNB,QUAD,SQ01B,solenoid trim,0.0,0.0475,,0.0,,45.000000000146,,,,,0.126099906E-2,0.24653,-9.798137,0.28,-0.99,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,kG2T,0.1,-1.0,,,,,,,,,,,,CATHODE TO DIAG0,0.24653,QUAD,-9.798137
14,GUNB,INST,VV01B,,0.0,,,,,,,,,,0.126099906E-2,0.38748,-9.657187,0.28,-0.99,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,CATHODE TO DIAG0,0.38748,INST,-9.657187
16,GUNB,XCOR,XC01B,LBNL-xy,0.0,,,,,,,,,,0.126099906E-2,0.4845,-9.560167,0.28,-0.99,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,CATHODE TO DIAG0,0.4845,XCOR,-9.560167
17,GUNB,YCOR,YC01B,LBNL-xy,0.0,,,,,,,,,,0.126099906E-2,0.4845,-9.560167,0.28,-0.99,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,CATHODE TO DIAG0,0.4845,YCOR,-9.560167
