ELEMENT,Area2,Undulator Cell,Sector
SOL1BKB,GUNB,,S00
CATHODEB,GUNB,,S00
SOL1B,GUNB,,S00
CQ01B,GUNB,,S00
SQ01B,GUNB,,S00
VV01B,GUNB,,S00
XC01B,GUNB,,S00
YC01B,GUNB,,S00
BPM1B,GUNB,,S00
IM01B,GUNB,,S00
XC02B,GUNB,,S00
YC02B,GUNB,,S00
BUN1B,GUNB,,S00
XC03B,GUNB,,S00
YC03B,GUNB,,S00
XC04B,GUNB,,S00
YC04B,GUNB,,S00
YAG01B,GUNB,,S00
YAG01B_COLL,GUNB,,S00
YAG01B_FCUP,GUNB,,S00
CQ02B,GUNB,,S00
SOL2B,GUNB,,S00
SQ02B,GUNB,,S00
VV02B,GUNB,,S00
BPM2B,GUNB,,S00
XC05B,GUNB,,S00
YC05B,GUNB,,S00
CAVL011,L0B,,S00
CAVL012,L0B,,S00
CAVL013,L0B,,S00
CAVL014,L0B,,S00
CAVL015,L0B,,S00
CSP01,L0B,,S00
CAVL016,L0B,,S01
CAVL017,L0B,,S01
CAVL018,L0B,,S01
CMB01,L0B,,S01
QCM01,L0B,,S01
XCM01,L0B,,S01
YCM01,L0B,,S01
VVL0BD,L0B,,S01
RFB0H00,*HTR,,S01
PC0H00,HTR,,S01
Q0H01,HTR,,S01
BPM0H01,HTR,,S01
YC0H01,HTR,,S01
Q0H02,HTR,,S01
XC0H01,HTR,,S01
XC0H03,HTR,,S01
Q0H03,HTR,,S01
YC0H03,HTR,,S01
Q0H04,HTR,,S01
BPM0H04,HTR,,S01
RFB0H04,*HTR,,S01
OTR0H04,HTR,,S01
OTR0H04_YAG,HTR,,S01
WS0H04,HTR,,S01
BZ0H04,HTR,,S01
Q0H05,HTR,,S01
BPM0H05,HTR,,S01
YC0H05,HTR,,S01
Q0H06,HTR,,S01
XC0H05,HTR,,S01
XC0H07,HTR,,S01
Q0H07,HTR,,S01
YC0H07,HTR,,S01
Q0H08,HTR,,S01
BPM0H08,HTR,,S01
RFB0H08,*HTR,,S01
BCXH1,HTR,,S01
BPMH1,HTR,,S01
BCXH2,HTR,,S01
CEHTR,HTR,,S01
YAGH1,HTR,,S01
UMHTR,HTR,,S01
YAGH2,HTR,,S01
BCXH3,HTR,,S01
BPMH2,HTR,,S01
BCXH4,HTR,,S01
RFBHD00,*HTR,,S01
QHD01,HTR,,S01
BPMHD01,HTR,,S01
YCHD01,HTR,,S01
XCHD01,HTR,,S01
QHD02,HTR,,S01
BPMHD02,HTR,,S01
IMBCSI1,HTR,,S01
IMBCSI2,HTR,,S01
YCHD03,HTR,,S01
QHD03,HTR,,S01
BPMHD03,HTR,,S01
XCHD03,HTR,,S01
QHD04,HTR,,S01
BPMHD04,HTR,,S01
RFBHD04,*HTR,,S01
BPMDG000,COL0,,S01
XCC000,COL0,,S01
YCC000,COL0,,S01
QC001,COL0,,S01
BPMC001,COL0,,S01
QC002,COL0,,S01
BPMC002,COL0,,S01
QC003,COL0,,S01
BPMC003,COL0,,S01
YCC003,COL0,,S01
QC004,COL0,,S01
BPMC004,COL0,,S01
XCC004,COL0,,S01
CYC01,COL0,,S01
QC005,COL0,,S01
BPMC005,COL0,,S01
YCC005,COL0,,S01
CXC01,COL0,,S01
QC006,COL0,,S01
BPMC006,COL0,,S01
XCC006,COL0,,S01
OTRC006,COL0,,S01
OTRC006_YAG,COL0,,S01
WSC006,*COL0,,S01
RFBC006,*COL0,,S01
CYC02,*COL0,,S01
QC007,COL0,,S01
BPMC007,COL0,,S01
YCC007,COL0,,S01
CXC02,*COL0,,S01
QC008,COL0,,S01
BPMC008,COL0,,S01
XCC008,COL0,,S01
CYC03,COL0,,S01
QC009,COL0,,S01
BPMC009,COL0,,S01
YCC009,COL0,,S01
CXC03,COL0,,S01
QC010,COL0,,S01
BPMC010,COL0,,S01
XCC010,COL0,,S01
RFBC011,*COL0,,S01
QC011,COL0,,S01
BPMC011,COL0,,S01
YCC011,COL0,,S01
XCC012,COL0,,S01
QC012,COL0,,S01
BPMC012,COL0,,S01
VVL1BU,L1B,,S01
CAVL021,L1B,,S01
CAVL022,L1B,,S01
CAVL023,L1B,,S01
CAVL024,L1B,,S01
CAVL025,L1B,,S01
CSP02,L1B,,S01
CAVL026,L1B,,S01
CAVL027,L1B,,S01
CAVL028,L1B,,S01
CMB02,L1B,,S01
QCM02,L1B,,S01
XCM02,L1B,,S01
YCM02,L1B,,S01
CAVL031,L1B,,S01
CAVL032,L1B,,S01
CAVL033,L1B,,S01
CAVL034,L1B,,S01
CAVL035,L1B,,S01
CSP03,L1B,,S01
CAVL036,L1B,,S01
CAVL037,L1B,,S01
CAVL038,L1B,,S02
CMB03,L1B,,S02
QCM03,L1B,,S02
XCM03,L1B,,S02
YCM03,L1B,,S02
CAVC011,L1B,,S02
CAVC012,L1B,,S02
CSPH1,L1B,,S02
CAVC013,L1B,,S02
CAVC014,L1B,,S02
CAVC015,L1B,,S02
CAVC016,L1B,,S02
CAVC017,L1B,,S02
CAVC018,L1B,,S02
CMBH1,L1B,,S02
CAVC021,L1B,,S02
CAVC022,L1B,,S02
CSPH2,L1B,,S02
CAVC023,L1B,,S02
CAVC024,L1B,,S02
CAVC025,L1B,,S02
CAVC026,L1B,,S02
CAVC027,L1B,,S02
CAVC028,L1B,,S02
CMBH2,L1B,,S02
VVL1BD,L1B,,S02
XC1C00,BC1B,,S02
YC1C00,BC1B,,S02
Q1C01,BC1B,,S02
BPM1C01,BC1B,,S02
RFB1C01,*BC1B,,S02
BCX11,BC1B,,S02
CQ11B,BC1B,,S02
YCM12B,BC1B,,S02
BCX12,BC1B,,S02
BPM11B,BC1B,,S02
CE11B,BC1B,,S02
OTR11B,BC1B,,S02
WS11B,*BC1B,,S02
BCX13,BC1B,,S02
SQ13B,*BC1B,,S02
XCM12B,BC1B,,S02
CQ12B,BC1B,,S02
BCX14,BC1B,,S02
BZ11B,BC1B,,S02
BZC1,*BC1B,,S02
QC101,COL1,,S02
BPMC101,COL1,,S02
IM11B,COL1,,S02
XCC101,COL1,,S02
YCC101,COL1,,S02
QC102,COL1,,S02
BPMC102,COL1,,S02
QC103,COL1,,S02
BPMC103,COL1,,S02
QC104,COL1,,S02
BPMC104,COL1,,S02
XCC104,COL1,,S02
RFBC104,*COL1,,S02
WSC104,COL1,,S02
